Profile_code,Depth,Beta_exponentialModel,Saturated_conductivity_exponentialModel,Saturated_waterContent_exponentialModel
LP7_29,10-28,51.97,0.364,0.435
LP7_58,50-62,177.08,0.581,0.4074
LP7_A13,105-135,31.06,0.542,0.3496
