Profile_code,Depth,n_VG,tau_VG,saturated_conductivity_VG,saturated_waterContent_VG,residual_waterContent_VG,alpha_VG
LP59_28,0-40,1.136,0.564,422.278,0.409,0,0.089
LP59_37,40-60,1.42,23.19,11.8,0.36,0,0.010
LP59_26,60-90,1.311,19.36,3.97,0.53,0,0.004
LP59_25,90-120,1.335,19.986,8.282,0.488,0,0.005
