depth,40-60
theta,h,K
0.3316,-34,5.38E-01
0.3292,-36.5,5.50E-01
0.3268,-39,2.40E-01
0.3245,-41.5,2.94E-01
0.3217,-44.2,2.22E-01
0.3194,-46.9,1.07E-01
0.3176,-49.7,7.52E-02
0.3156,-52.5,9.48E-02
0.3159,-54.6,2.82E-01
0.3136,-55.4,4.49E-02
0.3116,-58.4,6.41E-02
0.3137,-59.8,1.12E-01
0.3098,-61.3,2.31E-02
0.3089,-64.2,1.10E-02
0.311,-65.9,9.21E-02
0.3081,-72.7,3.53E-02
0.3053,-79.5,4.30E-02
0.3024,-86.7,1.50E-02
0.2997,-94.6,7.11E-03
0.2968,-103.3,6.67E-04
